Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
1.33,0.38,58%,42%,8,10,2,2,3,0,3,3,90%,84%,,,,,3,3,3,5,7,5,1,5,0,0,20,9,,,1,0,6,12,,,86%,70%,24%,17%,,,17,16,12,6,67%,44%,,,23,26,8,8,,,,,2,0,,,,,,,,
1.56,0.21,62%,38%,12,3,3,0,1,1,4,2,89%,84%,0,1,,,5,2,4,1,9,2,3,1,0,0,29,16,,,0,1,11,12,,,77%,77%,0%,7%,,,20,18,12,11,61%,62%,,,25,20,9,6,,,,,0,1,,,,,,,,
1.49,1.37,52%,48%,12,14,3,4,2,3,2,5,84%,83%,2,1,,,6,8,3,2,8,7,4,7,1,0,29,17,,,1,0,6,3,,,70%,71%,20%,19%,,,21,23,3,6,69%,53%,,,24,34,9,4,,,,,3,2,,,,,,,1,1
0.72,1.42,44%,56%,10,12,6,3,2,1,5,6,82%,86%,4,4,,,1,4,3,5,8,5,2,7,0,0,23,19,,,0,2,16,9,,,62%,76%,29%,13%,,,15,9,9,16,56%,60%,,,24,22,5,10,,,,,1,3,,,,,1,0,1,0
0.37,0.97,35%,65%,6,13,2,1,1,2,3,11,74%,87%,1,1,,,1,3,3,9,4,8,2,5,0,1,16,30,,,1,2,17,10,,,63%,81%,22%,22%,,,16,9,10,17,56%,50%,,,30,23,8,6,,,,,1,2,,,,,,,,
1.12,2.09,55%,45%,10,12,6,5,2,4,8,3,88%,88%,3,0,,,2,2,2,5,10,8,0,4,0,0,25,27,,,0,2,14,12,,,71%,85%,47%,17%,,,19,18,12,14,60%,61%,,,15,18,6,10,,,,,4,6,,,,,,,,
2.56,0.72,60%,40%,19,7,10,2,7,2,4,2,91%,84%,1,2,,,7,2,2,3,13,5,6,2,0,0,39,12,,,2,0,9,6,,,87%,65%,45%,40%,,,15,13,6,9,53%,69%,,,15,13,7,9,,,,,2,6,,,,,,,2,0
2.33,1.48,43%,57%,11,19,4,5,5,2,1,9,72%,79%,2,1,,,4,7,3,7,7,12,4,7,1,0,26,41,,,0,3,14,12,,,61%,67%,38%,36%,,,28,18,12,14,62%,52%,,,33,26,6,10,,,,,4,2,,,,,,,,
3.82,0.33,36%,64%,19,6,6,2,6,2,3,8,73%,86%,3,1,,,8,3,5,1,15,6,4,0,0,1,30,19,,,7,7,10,19,,,59%,68%,33%,31%,,,13,20,19,10,69%,50%,,,24,14,9,9,,,,,1,2,,,,,,,,
1.22,1.84,60%,40%,18,11,5,5,0,3,7,4,88%,85%,1,3,,,7,3,6,3,11,10,7,1,0,0,24,15,,,1,0,15,8,,,74%,74%,21%,33%,,,21,8,8,15,60%,85%,,,10,40,5,5,,,,,3,4,,,,,,,,
